timestamp,avg_return,benchmark_return,alpha,NVDA_return,AAPL_return,MSFT_return,AMZN_return,GOOGL_return,initial_capital,lookback_window,label_threshold,learning_rate,phase_flexibility,lateral_strength,input_threshold,kerr_constant,system_energy,buy_threshold,sell_threshold,search_depth
2025-11-24 20:02:48,34.24789418029785,49.98829356371637,-15.74039938341852,100.61257820129394,12.931837310791018,3.7968713378906247,12.274701232910157,41.62348281860351,10000,30,0.02883020479441068,0.020544123553261233,0.08535817490999983,0.21840633496694944,0.7317547916141555,0.37331408582798553,54.11027784623976,31.60619894065019,-34.008847634472396,3
2025-11-24 20:03:17,38.67981667327881,49.98829356371637,-11.30847689043756,100.3125980758667,21.692382202148437,7.866698303222656,18.26540130615234,45.2620034790039,10000,30,0.024961567189538524,0.04233873936179486,0.07271481679429216,0.21793617079009164,0.7154861265375,0.3639716091518873,49.27731478966072,38.546444714864094,-22.720009297549407,3
2025-11-24 20:03:48,41.556240661621096,49.98829356371637,-8.432052902095272,73.92458984375,32.88270538330078,12.706629333496094,18.873101654052736,69.39417709350586,10000,45,0.018151535550178954,0.13604880987791018,0.1963013786902471,0.29452300842464785,0.6809287365470318,0.3838585643830943,45.243566825974106,21.17372470968795,-36.802175458303154,3
2025-11-24 20:04:13,21.034133972167968,49.98829356371637,-28.9541595915484,53.657884674072264,5.686563720703125,1.06931396484375,9.664600524902344,35.09230697631836,10000,60,0.03297267125139226,0.0653004521215217,0.0621057447072787,0.10788255298504645,0.7582536072711066,0.23584943257509472,51.24812953215598,20.616277377159648,-38.22183335868268,3
2025-11-24 20:04:42,45.84446584320068,49.98829356371637,-4.143827720515688,103.23773250579833,30.832007141113284,14.970096435546875,18.71080139160156,61.47169174194336,10000,30,0.0169794513467822,0.0671408310538829,0.05875665009707488,0.23818205675642443,0.8011503854889318,0.36254141398771966,56.99922908954143,26.593819810359197,-23.48123343783611,3
2025-11-24 20:05:11,29.004570419311527,49.98829356371637,-20.98372314440484,62.193304519653324,14.101644439697267,8.378724365234374,17.381001434326173,42.96817733764649,10000,45,0.02674679874094354,0.1493627587342912,0.17285674267079654,0.2881985429729773,0.7509583934663133,0.3880290543287447,59.66921133635583,39.410632473914546,-23.84508963936423,3
2025-11-24 20:05:37,31.088661712646484,49.98829356371637,-18.899631851069884,47.214890747070314,30.131636962890624,7.501925048828125,12.630101928710937,57.96475387573242,10000,60,0.02131587387470627,0.11200300609609473,0.1901558662703856,0.2265600962409256,0.8316969909884417,0.3080236176612981,48.380774920395496,36.947534894282896,-23.2857910478527,3
2025-11-24 20:06:07,35.161488174438475,49.98829356371637,-14.826805389277894,49.6427481842041,36.3009716796875,14.275400085449219,13.906801452636719,61.68151947021484,10000,60,0.020559838421947314,0.14675397196660828,0.14719529791347843,0.23953374098479127,0.6866079555010156,0.387731367619229,52.09748308291471,28.72659591421026,-39.472245703508115,3
2025-11-24 20:06:37,32.245818161010746,49.98829356371637,-17.742475402705622,66.19003883361816,25.654906616210937,6.131410827636719,7.007001190185546,56.24573333740235,10000,45,0.0230954116314838,0.035841173230773946,0.15467840909168845,0.250370773967399,0.7098683660672797,0.3062252721624621,41.97687241844099,25.659752636841375,-30.78422685661083,3
2025-11-24 20:07:05,29.5381421585083,49.98829356371637,-20.450151405208068,98.46138675689697,11.00610580444336,2.4760696411132814,8.304200744628906,27.44294784545899,10000,30,0.03300852747735695,0.13316939223446975,0.14800350477779006,0.29095797693618386,0.837122530735291,0.27712839752458585,50.929449144488785,27.917552541252075,-24.747299059548507,3
